Euler Angles: (0.0, 0.0, 0.0) Lin Acceleration: (-0.02, -1.26, 9.22) Gyro: (0.008726646259971648, 0.001090830782496456, 0.002181661564992912) Lin Acceleration NoG: (0.0, 0.0, 0.0) Gravity: (0.0, 0.0, 0.0) Time: 1.1540143489837646
Euler Angles: (360.0, 0.0, 7.8125) Lin Acceleration: (0.0, -1.26, 9.33) Gyro: (-0.002181661564992912, 0.0, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.06, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 1.2907254695892334
Euler Angles: (360.0, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.3) Gyro: (-0.002181661564992912, -0.002181661564992912, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.06, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 1.4122166633605957
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.27, 9.33) Gyro: (0.002181661564992912, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.34) Gravity: (0.0, -1.33, 9.71) Time: 1.5346801280975342
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.24, 9.290000000000001) Gyro: (0.002181661564992912, 0.0, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 1.6566436290740967
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.3, 9.33) Gyro: (-0.001090830782496456, -0.001090830782496456, 0.003272492347489368) Lin Acceleration NoG: (-0.01, 0.03, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 1.7805964946746826
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.27, 9.32) Gyro: (-0.001090830782496456, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (-0.02, 0.06, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 1.9012703895568848
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.3) Gyro: (-0.001090830782496456, 0.002181661564992912, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 2.022766590118408
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.32) Gyro: (0.0, -0.00545415391248228, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.04, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 2.1472063064575195
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.03, -1.26, 9.32) Gyro: (0.0, 0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 2.267495632171631
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.31, 9.32) Gyro: (0.0, -0.001090830782496456, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 2.3893990516662598
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.32) Gyro: (-0.002181661564992912, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.07, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 2.510068655014038
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.3) Gyro: (0.003272492347489368, 0.001090830782496456, 0.002181661564992912) Lin Acceleration NoG: (0.0, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 2.633026361465454
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.33) Gyro: (-0.001090830782496456, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 2.7551136016845703
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.27, 9.31) Gyro: (0.001090830782496456, 0.003272492347489368, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.41000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 2.877706527709961
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.01, -1.29, 9.32) Gyro: (-0.001090830782496456, -0.002181661564992912, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 3.0029547214508057
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.290000000000001) Gyro: (-0.002181661564992912, -0.001090830782496456, 0.0) Lin Acceleration NoG: (-0.01, 0.03, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 3.1237871646881104
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.3, 9.34) Gyro: (-0.001090830782496456, 0.0, -0.002181661564992912) Lin Acceleration NoG: (0.0, 0.04, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 3.2569057941436768
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.3, 9.32) Gyro: (0.001090830782496456, -0.004363323129985824, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.03, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 3.3775715827941895
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.33) Gyro: (0.0, -0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.04, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 3.502291679382324
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.33) Gyro: (-0.001090830782496456, -0.003272492347489368, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 3.622631311416626
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.31) Gyro: (0.001090830782496456, 0.0, 0.0) Lin Acceleration NoG: (-0.01, 0.06, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 3.745840072631836
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.3, 9.34) Gyro: (0.0, -0.002181661564992912, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 3.8668463230133057
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.32) Gyro: (0.0, 0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 3.9887585639953613
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.28, 9.33) Gyro: (-0.001090830782496456, 0.003272492347489368, 0.0) Lin Acceleration NoG: (0.0, 0.03, -0.35000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 4.111710786819458
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.36) Gyro: (0.0, 0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 4.232454299926758
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.31) Gyro: (0.0, -0.003272492347489368, 0.001090830782496456) Lin Acceleration NoG: (0.01, 0.04, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 4.355947256088257
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.33) Gyro: (0.0, 0.003272492347489368, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.06, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 4.476524829864502
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.35) Gyro: (0.001090830782496456, 0.002181661564992912, 0.002181661564992912) Lin Acceleration NoG: (-0.01, 0.05, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 4.600080251693726
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.31) Gyro: (0.0, 0.0, 0.003272492347489368) Lin Acceleration NoG: (-0.01, 0.02, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 4.722678184509277
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.31) Gyro: (-0.001090830782496456, 0.0, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.04, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 4.844360828399658
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.34) Gyro: (0.0, 0.002181661564992912, 0.0) Lin Acceleration NoG: (0.01, 0.04, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 4.9678685665130615
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.31) Gyro: (0.0, -0.003272492347489368, 0.0) Lin Acceleration NoG: (0.0, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 5.088910341262817
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.26, 9.34) Gyro: (0.001090830782496456, -0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.07, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 5.213503122329712
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.28, 9.32) Gyro: (-0.001090830782496456, 0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (-0.02, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 5.333917140960693
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.29, 9.32) Gyro: (0.003272492347489368, 0.002181661564992912, 0.0) Lin Acceleration NoG: (0.01, 0.03, -0.42) Gravity: (0.0, -1.33, 9.71) Time: 5.456295013427734
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.32) Gyro: (0.0, 0.006544984694978736, 0.002181661564992912) Lin Acceleration NoG: (0.0, 0.05, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 5.578475475311279
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.34) Gyro: (-0.001090830782496456, 0.001090830782496456, 0.001090830782496456) Lin Acceleration NoG: (0.01, 0.03, -0.35000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 5.699564456939697
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.33) Gyro: (0.0, -0.001090830782496456, 0.0) Lin Acceleration NoG: (-0.01, 0.04, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 5.822990655899048
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.01, -1.29, 9.32) Gyro: (0.0, -0.003272492347489368, 0.0) Lin Acceleration NoG: (0.01, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 5.942947864532471
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, 326.41, 9.3) Gyro: (-0.001090830782496456, 0.0, 0.0) Lin Acceleration NoG: (0.0, 0.06, -0.41000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 6.063820123672485
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.32) Gyro: (0.001090830782496456, -0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 6.187129735946655
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.02, -1.28, 9.35) Gyro: (-0.002181661564992912, -0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.06, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 6.309844732284546
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.03, -1.28, 9.31) Gyro: (0.0, -0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.03, -0.33) Gravity: (0.0, -1.33, 9.71) Time: 6.432188987731934
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.32) Gyro: (-0.001090830782496456, 0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.02, -0.36) Gravity: (0.0, -1.33, 9.71) Time: 6.553484201431274
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.32) Gyro: (0.001090830782496456, -0.003272492347489368, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.35000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 6.677230596542358
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.33) Gyro: (0.001090830782496456, -0.001090830782496456, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.04, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 6.797582626342773
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.31) Gyro: (-0.001090830782496456, 0.003272492347489368, -0.002181661564992912) Lin Acceleration NoG: (-0.01, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 6.921111345291138
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.26, 9.32) Gyro: (0.001090830782496456, 0.003272492347489368, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 7.045678615570068
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.36) Gyro: (-0.001090830782496456, -0.002181661564992912, 0.0) Lin Acceleration NoG: (0.0, 0.05, -0.35000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 7.166956901550293
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.34) Gyro: (0.002181661564992912, 0.0, 0.0) Lin Acceleration NoG: (-0.01, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 7.2883219718933105
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.34) Gyro: (0.003272492347489368, 0.0, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.36) Gravity: (0.0, -1.33, 9.71) Time: 7.410969972610474
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.26, 9.33) Gyro: (-0.001090830782496456, -0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.07, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 7.532923936843872
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.32) Gyro: (0.0, 0.001090830782496456, 0.0) Lin Acceleration NoG: (-0.01, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 7.656484365463257
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.32) Gyro: (-0.001090830782496456, 0.002181661564992912, 0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.05, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 7.777724504470825
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.3, 9.28) Gyro: (-0.002181661564992912, -0.001090830782496456, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.03, -0.42) Gravity: (0.0, -1.33, 9.71) Time: 7.898145914077759
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.27, 9.33) Gyro: (0.0, -0.002181661564992912, -0.002181661564992912) Lin Acceleration NoG: (0.0, 0.05, -0.41000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 8.02104902267456
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.26, 9.34) Gyro: (0.001090830782496456, 0.0, 0.0) Lin Acceleration NoG: (-0.01, 0.04, -0.36) Gravity: (0.0, -1.33, 9.71) Time: 8.144782543182373
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.31, 9.33) Gyro: (0.0, 0.001090830782496456, 0.0) Lin Acceleration NoG: (0.0, 0.02, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 8.267220497131348
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.26, 9.33) Gyro: (0.0, 0.003272492347489368, 0.0) Lin Acceleration NoG: (0.0, 0.06, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 8.389315128326416
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.31, 9.34) Gyro: (-0.001090830782496456, -0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.02, -0.37) Gravity: (0.0, -1.33, 9.71) Time: 8.510758876800537
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.36) Gyro: (0.001090830782496456, -0.002181661564992912, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 8.634778499603271
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.29, 9.3) Gyro: (-0.002181661564992912, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.02, -0.42) Gravity: (0.0, -1.33, 9.71) Time: 8.756261825561523
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.27, 9.290000000000001) Gyro: (-0.001090830782496456, 0.003272492347489368, -0.002181661564992912) Lin Acceleration NoG: (-0.01, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 8.878095865249634
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.28, 9.3) Gyro: (0.002181661564992912, 0.001090830782496456, -0.001090830782496456) Lin Acceleration NoG: (-0.01, 0.05, -0.41000000000000003) Gravity: (0.0, -1.33, 9.71) Time: 9.000197887420654
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.29, 9.31) Gyro: (0.0, -0.003272492347489368, 0.0) Lin Acceleration NoG: (-0.01, 0.04, -0.39) Gravity: (0.0, -1.33, 9.71) Time: 9.123936653137207
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (0.0, -1.28, 9.32) Gyro: (0.0, 0.0, 0.001090830782496456) Lin Acceleration NoG: (0.0, 0.05, -0.38) Gravity: (0.0, -1.33, 9.71) Time: 9.246509790420532
Euler Angles: (359.9375, 0.0, 7.8125) Lin Acceleration: (-0.01, -1.27, 9.32) Gyro: (0.004363323129985824, 0.002181661564992912, -0.001090830782496456) Lin Acceleration NoG: (0.0, 0.04, -0.4) Gravity: (0.0, -1.33, 9.71) Time: 9.370333433151245
